from,to,dist,convenience
웨스트민스터홀4층,조만식기념관5층,47,356
웨스트민스터홀4층,웨스트민스터홀_조만식기념관 연결,17,386
웨스트민스터홀_조만식기념관 연결,도서관 흡연장 앞 길,51,352
도서관 흡연장 앞 길,2층 도담식당,36,367
진리관 1층입구_학생회관방면,진리관_학생회관 사이 길,18,385
백마광장_나무계단방면,백마광장_도서관방면,107,296
문화관,돌계단 입구 안익태기념관 방면,117,286
베어드홀 흡연장,베어드홀 뒤편,44,359
베어드홀 뒤편,형남공학_베어드홀 중간 길,86,317
형남공학관 2층출입문,주차장 입구,58,345
